episode: 108 | reward: 5.0 | average reward: 3.4166666666666665 | loss: 0.14426344317227335
episode: 109 | reward: 7.0 | average reward: 3.4311926605504586 | loss: 0.1525337813957049
episode: 110 | reward: 0.0 | average reward: 3.463636363636364 | loss: 0.11264066452938107
episode: 111 | reward: 5.0 | average reward: 3.4324324324324325 | loss: 0.14628253260846946
episode: 112 | reward: 5.0 | average reward: 3.4464285714285716 | loss: 0.13991579528315418
episode: 113 | reward: 5.0 | average reward: 3.4601769911504423 | loss: 0.1284734526098873
episode: 114 | reward: 3.0 | average reward: 3.473684210526316 | loss: 0.1292316966398548
episode: 115 | reward: 0.0 | average reward: 3.4695652173913043 | loss: 0.14778743379538126
episode: 116 | reward: 7.0 | average reward: 3.439655172413793 | loss: 0.12436158278916919
episode: 117 | reward: 2.0 | average reward: 3.47008547008547 | loss: 0.14819115832813867
episode: 118 | reward: 0.0 | average reward: 3.457627118644068 | loss: 0.11817187763596773
episode: 119 | reward: 0.0 | average reward: 3.4285714285714284 | loss: 0.15013426031670407
episode: 120 | reward: 1.0 | average reward: 3.4 | loss: 0.1434223985563416
episode: 121 | reward: 1.0 | average reward: 3.3801652892561984 | loss: 0.15468234539716327
episode: 122 | reward: 3.0 | average reward: 3.360655737704918 | loss: 0.11725223594109718
episode: 123 | reward: 2.0 | average reward: 3.3577235772357725 | loss: 0.14975050445144547
episode: 124 | reward: 0.0 | average reward: 3.346774193548387 | loss: 0.13956469211151906
episode: 125 | reward: 1.0 | average reward: 3.32 | loss: 0.12174058609935753
episode: 126 | reward: 1.0 | average reward: 3.3015873015873014 | loss: 0.1159632195955905
episode: 127 | reward: 5.0 | average reward: 3.283464566929134 | loss: 0.10810288355254138
episode: 128 | reward: 4.0 | average reward: 3.296875 | loss: 0.14400273409528747
episode: 129 | reward: 3.0 | average reward: 3.302325581395349 | loss: 0.11603116360674391
episode: 130 | reward: 6.0 | average reward: 3.3 | loss: 0.11201646162042438
episode: 131 | reward: 1.0 | average reward: 3.3206106870229006 | loss: 0.14016273408961535
episode: 132 | reward: 0.0 | average reward: 3.303030303030303 | loss: 0.11220333669654808
episode: 133 | reward: 6.0 | average reward: 3.2781954887218046 | loss: 0.11855063207862883
episode: 134 | reward: 3.0 | average reward: 3.298507462686567 | loss: 0.11074732770871706
episode: 135 | reward: 6.0 | average reward: 3.2962962962962963 | loss: 0.11783865648481752
episode: 136 | reward: 4.0 | average reward: 3.3161764705882355 | loss: 0.11872978005165145
episode: 137 | reward: 6.0 | average reward: 3.321167883211679 | loss: 0.12152970802145041
episode: 138 | reward: 5.0 | average reward: 3.3405797101449277 | loss: 0.11353208223631968
episode: 139 | reward: 6.0 | average reward: 3.352517985611511 | loss: 0.1523472497239225
episode: 140 | reward: 6.0 | average reward: 3.3714285714285714 | loss: 0.14876223616284212
episode: 141 | reward: 2.0 | average reward: 3.3900709219858154 | loss: 0.12840406690803108
episode: 142 | reward: 0.0 | average reward: 3.380281690140845 | loss: 0.11114548958666613
episode: 143 | reward: 7.0 | average reward: 3.3566433566433567 | loss: 0.13038391433995647
episode: 144 | reward: 3.0 | average reward: 3.3819444444444446 | loss: 0.14039693324836328
episode: 145 | reward: 0.0 | average reward: 3.3793103448275863 | loss: 0.13136794815617087
episode: 146 | reward: 4.0 | average reward: 3.356164383561644 | loss: 0.10592309643848528
episode: 147 | reward: 5.0 | average reward: 3.360544217687075 | loss: 0.12784344574194778
episode: 148 | reward: 3.0 | average reward: 3.3716216216216215 | loss: 0.14513960487288224
episode: 149 | reward: 4.0 | average reward: 3.3691275167785233 | loss: 0.11816417982814062
episode: 150 | reward: 2.0 | average reward: 3.3733333333333335 | loss: 0.12121250888138349
episode: 151 | reward: 7.0 | average reward: 3.3642384105960264 | loss: 0.12033486907030524
episode: 152 | reward: 7.0 | average reward: 3.388157894736842 | loss: 0.12611997684567156
episode: 153 | reward: 2.0 | average reward: 3.411764705882353 | loss: 0.14033490514270203
episode: 154 | reward: 7.0 | average reward: 3.4025974025974026 | loss: 0.14291756959222035
episode: 155 | reward: 1.0 | average reward: 3.425806451612903 | loss: 0.13860412850418782
episode: 156 | reward: 3.0 | average reward: 3.41025641025641 | loss: 0.11677983768181166
episode: 157 | reward: 1.0 | average reward: 3.4076433121019107 | loss: 0.11280053249316689
episode: 158 | reward: 1.0 | average reward: 3.392405063291139 | loss: 0.11143540793132083
episode: 159 | reward: 4.0 | average reward: 3.3773584905660377 | loss: 0.1321817750140202
episode: 160 | reward: 7.0 | average reward: 3.38125 | loss: 0.1330773574249306
episode: 161 | reward: 5.0 | average reward: 3.4037267080745344 | loss: 0.10727249640008162
episode: 162 | reward: 6.0 | average reward: 3.4135802469135803 | loss: 0.11135285617265453
episode: 163 | reward: 7.0 | average reward: 3.4294478527607364 | loss: 0.14023650679287766
episode: 164 | reward: 2.0 | average reward: 3.451219512195122 | loss: 0.10661899658956858
episode: 165 | reward: 4.0 | average reward: 3.4424242424242424 | loss: 0.11111765903911851
episode: 166 | reward: 2.0 | average reward: 3.4457831325301207 | loss: 0.11911206931219799
episode: 167 | reward: 6.0 | average reward: 3.437125748502994 | loss: 0.11271098192283184
episode: 168 | reward: 0.0 | average reward: 3.4523809523809526 | loss: 0.1400166638685923
episode: 169 | reward: 5.0 | average reward: 3.4319526627218937 | loss: 0.13797434627324812
episode: 170 | reward: 5.0 | average reward: 3.4411764705882355 | loss: 0.12175466682084285
episode: 171 | reward: 2.0 | average reward: 3.4502923976608186 | loss: 0.14504512945171355
episode: 172 | reward: 1.0 | average reward: 3.441860465116279 | loss: 0.14895008078054958
