episode: 186 | reward: 0.0 | average reward: 0.9193548387096774 | loss: 0.11563584348812192
episode: 187 | reward: 0.0 | average reward: 0.9144385026737968 | loss: 0.15357868113372775
episode: 188 | reward: 2.0 | average reward: 0.9095744680851063 | loss: 0.14439343755945974
episode: 189 | reward: 2.0 | average reward: 0.9153439153439153 | loss: 0.14831382168074408
episode: 190 | reward: 1.0 | average reward: 0.9210526315789473 | loss: 0.11951552325602513
episode: 191 | reward: 2.0 | average reward: 0.9214659685863874 | loss: 0.12063988766960979
episode: 192 | reward: 0.0 | average reward: 0.9270833333333334 | loss: 0.13594927581761534
episode: 193 | reward: 1.0 | average reward: 0.9222797927461139 | loss: 0.12147744612456754
episode: 194 | reward: 0.0 | average reward: 0.9226804123711341 | loss: 0.14508699912821274
episode: 195 | reward: 1.0 | average reward: 0.9179487179487179 | loss: 0.14842940574986685
episode: 196 | reward: 0.0 | average reward: 0.9183673469387755 | loss: 0.15493257445281636
episode: 197 | reward: 2.0 | average reward: 0.9137055837563451 | loss: 0.126406502488164
episode: 198 | reward: 1.0 | average reward: 0.9191919191919192 | loss: 0.15364610710181273
episode: 199 | reward: 1.0 | average reward: 0.9195979899497487 | loss: 0.151462641700014
episode: 200 | reward: 0.0 | average reward: 0.92 | loss: 0.13199726051597596
episode: 201 | reward: 2.0 | average reward: 0.9154228855721394 | loss: 0.08639059928594978
episode: 202 | reward: 1.0 | average reward: 0.9207920792079208 | loss: 0.08003286225043274
episode: 203 | reward: 0.0 | average reward: 0.9211822660098522 | loss: 0.10602182439339222
episode: 204 | reward: 2.0 | average reward: 0.9166666666666666 | loss: 0.10994461598981997
episode: 205 | reward: 1.0 | average reward: 0.9219512195121952 | loss: 0.13007770503430352
episode: 206 | reward: 0.0 | average reward: 0.9223300970873787 | loss: 0.10052790916783279
episode: 207 | reward: 1.0 | average reward: 0.9178743961352657 | loss: 0.10153742156635516
episode: 208 | reward: 1.0 | average reward: 0.9182692307692307 | loss: 0.12636840670660304
episode: 209 | reward: 2.0 | average reward: 0.9186602870813397 | loss: 0.11477977478194411
episode: 210 | reward: 1.0 | average reward: 0.9238095238095239 | loss: 0.10406305552582733
episode: 211 | reward: 0.0 | average reward: 0.9241706161137441 | loss: 0.1283190172646642
episode: 212 | reward: 0.0 | average reward: 0.9198113207547169 | loss: 0.12954681162604964
episode: 213 | reward: 1.0 | average reward: 0.9154929577464789 | loss: 0.09484885639710677
episode: 214 | reward: 1.0 | average reward: 0.9158878504672897 | loss: 0.12363876843477606
episode: 215 | reward: 2.0 | average reward: 0.9162790697674419 | loss: 0.12662250779845294
episode: 216 | reward: 1.0 | average reward: 0.9212962962962963 | loss: 0.12637776445816948
episode: 217 | reward: 2.0 | average reward: 0.9216589861751152 | loss: 0.09207080970119817
episode: 218 | reward: 0.0 | average reward: 0.926605504587156 | loss: 0.09501282302615648
episode: 219 | reward: 2.0 | average reward: 0.9223744292237442 | loss: 0.12128561097151667
episode: 220 | reward: 1.0 | average reward: 0.9272727272727272 | loss: 0.1340807979192073
episode: 221 | reward: 1.0 | average reward: 0.9276018099547512 | loss: 0.09443671951248359
episode: 222 | reward: 2.0 | average reward: 0.9279279279279279 | loss: 0.11944882455551202
episode: 223 | reward: 1.0 | average reward: 0.9327354260089686 | loss: 0.10066025235465761
episode: 224 | reward: 2.0 | average reward: 0.9330357142857143 | loss: 0.12496878667775338
episode: 225 | reward: 1.0 | average reward: 0.9377777777777778 | loss: 0.13104852401457223
episode: 226 | reward: 2.0 | average reward: 0.9380530973451328 | loss: 0.11160213349289674
episode: 227 | reward: 1.0 | average reward: 0.9427312775330396 | loss: 0.09428205840689977
episode: 228 | reward: 1.0 | average reward: 0.9429824561403509 | loss: 0.09119189823756638
